areaName,Borough,areaType,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
East Village,Manhattan,neighborhood,1110037.5,1687500,1822667,1174818.5,1250000,975000,1080000,1050000,725750,601500,770000,995000,849000,1400000,970000,942500,1100000,1300000,950000,960000,866750,650000,650000,1092500,,845000,810000,,1020000,785000,1107500,962400,,2360000,799000,675000,1357250,1025000,960000,920000,1340000,1100000,947500,1060000,962500,780000,882500,1250000,825000,825000,1075000,1034000,1090000,1250000,961031.5,1040000,713625,1132500,1450000,725000,,480000,1050000,1027500,579000,1232568,1100000,770000,1106500,970000,,660000
Financial District,Manhattan,neighborhood,1205904,1049500,975000,1125000,965000,913466.5,944000,898000,999999,900000,970000,1030000,970000,999500,950000,1060000,1102500,1019500,810000,860000,862000,1055000,872500,900000,1024500,1050000,915000,687500,898500,720000,1865000,1651720,1149900,,1617750,1272344,1300000,1206157,997000,962500,999000,1405000,1325000,1087500,1100000,1150000,1350000,1050000,1075000,1212500,880000,1230000,1028000,1185000,962500,972725,953000,1475000,1600000,900000,900000,877500,1163800,1210691,1225000,1169918.5,1008942.5,990000,957500,852500,927500,915000
Flatiron,Manhattan,neighborhood,1632500,1585000,2179487.5,1794000,1550000,1630000,1795000,1570000,1192500,1430000,2282500,2102500,1899938.5,2339000,2037750,2155487,2107681,3100000,1249400,1600000,1720612,1700000,1760000,1612773.5,1340000,1487500,1944502.5,,1822500,,1750000,1626250,,925000,,1395000,1715000,1822667,1581000,2100000,1800000,2230000,1776060,1950000,1735284,1900000,1970000,1240000,2150000,1999999,1750000,1954999.5,2147846,2380000,2025000,1925000,2287430.5,2459073.5,1340000,1865000,1790000,2423381.5,1950000,1885000,1780000,1645000,2300000,2250000,2139000,1400000,1850000,2269000
Gramercy Park,Manhattan,neighborhood,1090000,995000,1045000,907500,1071047.5,1290836,1155000,1067985.5,1440823,1349181,1030000,820000,1097500,1067000,1384818.5,1687240,1578287,2176509,927500,1643455,1087000,1099500,999000,1600000,784500,900000,720000,999000,806000,721500,895000,700000,1475000,981500,910000,850000,1109375,1133790.5,1210000,917500,1104146.5,1245000,1330000,845000,1215000,1143433,848000,1205000,1005000,1345000,880332,815000,1195000,965000,850000,875000,1050000,847500,1308906,1174590,1388840,1196443,1362318.5,1412500,956250,777500,1202500,1029900,995000,1016500,810000,1207500
Greenwich Village,Manhattan,neighborhood,1597500,1322500,1452160,1350000,1250000,1250000,1295000,1592659.5,1695000,1262500,1237500,1350000,1358000,1097500,1360000,1550000,1575000,2495000,1400000,1280000,1160000,999000,1050000,1261417,1125000,1150000,940000,1252643,1675000,1022500,1087500,1080000,805000,999999,1862500,1512500,1253750,1400000,1399000,1435000,1350000,1325000,1250000,1190000,1500000,1230000,1510000,1425000,1495000,1775000,1345000,1262250,1475000,1495000,1550000,1407500,1260000,1720000,1595000,962500,1387500,1275000,1255250,1220000,1500000,1450000,1615000,1381250,1170000,1227633,1775000,2000000
Hamilton Heights,Manhattan,neighborhood,377000,329500,477500,545821.5,520000,,519699,482000,,600000,,,,,,340000,499000,,565040,,790000,875000,,238500,,,,,,,,,,,481000,,,,,470525,,516875,,,486500,534500,425000,,455000,,257500,,460000,530000,,500000,,620000,,,,,445000,,,,,,,,,
Inwood,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,399000,405000,,,,,525000,,,,,,,,,,,,,,,,,447000,364750,,,,460000,,,388750,420000,,,,,,,,,,,,,,,,,,,
Little Italy,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566781.5,,,,,,,,,,,,,,,,,,
Lower East Side,Manhattan,neighborhood,1512546.5,1462500,982500,1028432,738000,1156250,1530124.5,869000,655000,707444,905000,1120075,870000,865000,1239585,1271721,1383728,1433541,1394929,1606810,1211256,1381565,1426495,1220342.5,1241728.5,1317051,999000,1100000,862500,,807500,805000,,787500,1040000,700000,860000,807500,952500,1280000,1100000,857000,974960.5,974500,994999.5,1385000,1261538,1170000,1505918,1414265.5,1096250,1496052.5,995000,1482500,1327672,1100000,1175000,1272812,825000,842500,1055000,1355000,1322197.5,1050000,1454690.5,1488096,1070000,1150000,970000,952500,1217754,999999
Manhattan,Manhattan,borough,998000,1097500,1097500,1055000,1078547.5,995000,1090000,1040000,999999.5,981305.5,1010000,999950,995500,1105018.5,1161811,1191000,1240000,1507500,949000,995000,991500,990000,975000,1058000,1050000,1080000,998500,1205000,955000,925000,999500,984000,999000,954192,1050000,1092750,1080000,989000,1050000,1083493,1090000,1200000,1200000,995000,998500,1100000,1060000,1190000,1227500,1100000,1150000,1250000,1150000,1200000,1100000,1100000,1130000,1030000,1100000,990000,999000,995000,1125000,1150000,1210000,1171002.5,1092000,1102500,1075000,1060000,1100000,1195000
Marble Hill,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
